x,y,landslide_id,label,Elevation,Slope,Aspect,Curvature,TRI,TWI,Rainfall,Dist_Streams,Dist_Roads,Dist_Faults,NDVI,BSI,Soil,Lithology,LULC,Geomorphon
288102.65965479985,3347937.214778764,40668,1,791.58057,31.526022,208.17859,0.001709814,11.478621,9.450411,1474.1132,2489.6587,20748.594,86931.02,0.34594154,-0.015662646,3661,3,11,6
288560.21585846297,3348111.93611044,40577,1,756.9547,25.766108,320.90613,0.007813329,9.287241,9.952315,1489.6516,2306.2524,20268.617,87240.17,0.41954464,-0.08523512,3661,3,11,5
288673.03744100686,3347881.610511181,39664,1,738.8601,44.13824,135.78482,-0.001412512,17.525808,9.05935,1487.0254,2055.4805,20221.977,87457.23,0.39131013,-0.044215478,3661,3,2,6
288871.3400166477,3348475.284936712,40563,1,749.9073,34.95143,315.0,0.0009460018,11.994037,8.645526,1506.6698,2397.7488,19859.67,87345.22,0.34455904,-0.010349922,3661,3,11,6
288892.4335931888,3348516.4064929816,40576,1,768.66705,35.11847,310.9144,0.0040008267,12.803005,8.714591,1508.4181,2430.1646,19826.629,87338.59,0.35583085,-0.030074706,3661,3,11,6
289318.1511173534,3347702.500993779,39973,1,898.2977,26.750183,347.73523,0.005704036,9.643332,10.543315,1498.672,1511.721,19669.469,88103.625,0.4031134,-0.06486774,3661,3,11,5
259476.7209502747,3347113.362876698,38695,1,1031.3318,39.136486,300.73547,0.0052996892,14.130334,9.621178,899.3054,2293.687,48964.344,64133.68,0.23606157,0.08651435,3661,2,11,5
259532.4544404792,3347192.779353106,39879,1,1041.3279,36.941456,318.9452,-0.004018304,13.619597,9.303499,899.8583,2193.855,48893.77,64123.477,0.32744688,0.001882083,3661,2,11,6
259625.26957049905,3347240.001520348,38696,1,1043.223,40.08887,294.8637,0.0009698163,15.659222,10.616594,901.1493,2102.3796,48797.71,64155.82,0.2823335,0.047613006,3661,2,11,6
259702.9818430995,3347336.8205462657,38697,1,1050.0585,35.317425,337.6938,0.001267633,13.24555,7.712239,901.9614,1974.7405,48704.746,64147.164,0.32077342,0.011203778,3661,2,11,6
259869.161035881,3346067.786634758,39407,1,1049.6791,16.870718,135.0,-0.007263075,6.282725,9.851562,912.4429,2934.3652,48736.19,65128.094,0.2696592,0.08233405,3661,2,11,9
259920.53382476745,3347551.104158557,38698,1,1061.6261,29.731241,261.57303,7.9857135e-05,10.7144575,9.125864,904.6785,1678.0048,48458.496,64168.316,0.30965054,0.018795718,3661,2,11,6
259930.35894221577,3347450.969932171,38685,1,995.4479,30.088825,286.1892,-0.0035898339,10.9565735,7.461794,905.4554,1753.1685,48461.957,64242.945,0.30455497,0.024657292,3661,2,11,7
